Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc
Corpus geniculatum laterale,Brownian (BM),1,787.48,1002.8,1276.9,335,-1.350686897812816,-1.9933192655410144,-2.811634902885512,48,23.1
Corpus geniculatum laterale,Pagel's lambda (ML),0.983,763.4,979.88,1257.7,335,-1.2787979864478398,-1.9250101543677058,-2.7544725131562355,48,23.1
Amygdala,Brownian (BM),1,2802.8,3513.9,4405.4,3015,0.07037380234319884,-0.16548185727739143,-0.4611765062845541,17,22.2
Amygdala,Pagel's lambda (ML),0.452,2657.1,3478.3,4553.4,3015,0.11871173951898252,-0.15367520308318672,-0.5102509971965077,17,22.2
Pallidum,Brownian (BM),1,15683,19334,23835,4711,-2.3290429385038958,-3.1040517207156837,-4.059484313494281,26,21.9
Pallidum,Pagel's lambda (ML),1.06,15859,18304,21125,4711,-2.366453984457321,-2.885311860053026,-3.4841391920294282,26,21.9
Neocortex white,Brownian (BM),1,409800,542610,718450,421820,0.028485148252645077,-0.2863547072762547,-0.7032250510176351,23,12.3
Neocortex white,Pagel's lambda (ML),0.652,386360,581630,875590,421820,0.08406920080270658,-0.3788543725000773,-1.0757456592013244,23,12.3
Insular cortex (grey),Brownian (BM),1,1894.3,3124.2,5152.7,6165,0.6927377094584993,0.49323781700500585,0.164206223740411,29,30.3
Insular cortex (grey),Pagel's lambda (ML),-0.117,7618.2,14425,27313,6165,-0.23571823372060996,-1.339796809893203,-3.4303377276410743,29,30.3
Nucleus subthalamicus Luysi,Brownian (BM),1,792.82,1008.7,1283.3,469,-0.6904534559746431,-1.150728174552804,-1.7363259629933403,25,25.2
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.1,336.26,705.31,1479.4,469,0.2830194870936772,-0.5038587354607935,-2.1543271476852888,25,25.2
Capsula interna,Brownian (BM),1,11742,14419,17707,7008,-0.6755331198258502,-1.0575705244088658,-1.526716071930707,25,25.5
Capsula interna,Pagel's lambda (ML),1.02,11530,13966,16918,7008,-0.6451995344985443,-0.9929280888789785,-1.4141523773609672,25,25.5
Striatum,Brownian (BM),1,39986,47086,55446,28689,-0.39376131633249084,-0.6412446387803551,-0.9326723541254196,45,36.3
Striatum,Pagel's lambda (ML),0.872,44604,54374,66284,28689,-0.5547413903538969,-0.8952951265462646,-1.3104444501167891,45,36.3
Area striata grey,Brownian (BM),1,16954,22300,29332,15248,-0.11192779335576797,-0.4625585616205325,-0.9237558040651571,44,35.8
Area striata grey,Pagel's lambda (ML),0.832,16475,22467,30638,15248,-0.08051614270767989,-0.4734920992737462,-1.0093905873366824,44,35.8
Neocortex grey,Brownian (BM),1,690900,939930,1278700,563290,-0.2265444554509372,-0.6686341088922328,-1.2700683835670008,8,33.5
Neocortex grey,Pagel's lambda (ML),-1.97,241670,399230,659530,563290,0.5709784710438232,0.2912568065422876,-0.17084314042418713,8,33.5
Mesencephalon,Brownian (BM),1,8093.1,9097.8,10227,8087,-7.6006543536148e-4,-0.12498634524809461,-0.264633073107381,45,25.3
Mesencephalon,Pagel's lambda (ML),1,8073.2,9067.8,10185,8087,0.001708266743821783,-0.12128091651346855,-0.25942232300810536,45,25.3
Cerebellum,Brownian (BM),1,120220,142900,169860,137420,0.12520643230781348,-0.03984396987352104,-0.23603501627802614,45,29.8
Cerebellum,Pagel's lambda (ML),0.947,129170,156550,189730,137420,0.06006709114046279,-0.1391648797165562,-0.38062686277703534,45,29.8
Hippocampus,Brownian (BM),1,8960.2,12374,17090,10287,0.12897550582847678,-0.20292249278931485,-0.6612879813842635,45,25.7
Hippocampus,Pagel's lambda (ML),0.962,9089.4,12931,18395,10287,0.11642165014521293,-0.25698841541806605,-0.7882057394852319,45,25.7
