"rule_id","anatomy_group","dissection_pattern","roi_pattern"
"occipital_cortex","Occipital lobe","^Cerebral cortex \(Cx\).*(Cuneus|Lingual|occipital|Peristriate|Prostriata|Primary Visual|Visual Cortex|\bV1C?\b|\bV2\b|\bA19\b|Areas 19 and MT)","Cerebral cortex"
"temporal_cortex","Temporal lobe","^Cerebral cortex \(Cx\).*(Temporal|temporal|parahippocampal|entorhinal|perirhinal|fusiform|occipitotemporal|Transverse temporal|auditory|\bA1C\b|Temporal pole|\bA38\b|\bA35\b|\bA36\b)","Cerebral cortex"
"insular_cortex","Insular lobe","^Cerebral cortex \(Cx\).*(insular|Insular|insula|Short insular|Long insular|agranular insular|granular insular|dysgranular insular)","Cerebral cortex"
"parietal_cortex","Parietal lobe","^Cerebral cortex \(Cx\).*(Parietal|parietal|Postcentral|postcentral|somatosensory|Supramarginal|supramarginal|Supraparietal|SPL|operculum|A40|A43|A5|A7|S1C?)","Cerebral cortex"
"frontal_cortex","Frontal lobe","^Cerebral cortex \(Cx\).*(Frontal|frontal|Precentral|precentral|motor cortex|M1C|orbital|Orbitofrontal|gyrus rectus|Gyrus rectus|Subcallosal|subcallosal|Middle frontal|Inferior frontal|Rostral gyrus|MFC|OFC|A13|A14|A24|A25|A32|A44|A45|A46)","Cerebral cortex"
"hippocampus","Hippocampus","^(Head|Body|Tail) of [Hh]ippocampus|Hippocampus \(Hi|Uncal CA|Rostral CA|Caudal Hippocampus|DG-CA4|CA1|CA2|CA3|CA4-DGC|Subicular cortex","Hippocampus"
"amygdala","Corpus amygdaloideum","Amygdaloid complex|\bAMY\b|Basolateral nuclear group|Central nuclear group|Corticomedial nuclear group|lateral nucleus|basolateral nucleus|basomedial nucleus|anterior cortical nucleus","Amygdaloid complex"
"basal_forebrain","Basal forebrain","Basal forebrain|septal nuclei|substantia innominata|\bBF\b|\bSEP\b|\bSI\b","Basal forebrain"
"caudatum","Caudatum","Caudate|Body of the Caudate|\bCaB\b","Basal nuclei"
"putamen","Putamen","Putamen|\bPu\b","Basal nuclei"
"nucleus_accumbens","Nucleus accumbens","Accumbens|Nucleus Accumbens|\bNAC\b","Basal nuclei"
"pallidum","Pallidum","Pallidum|Globus pallidus|External segment of globus pallidus|Internal segment of globus pallidus|\bGPe\b|\bGPi\b","Basal nuclei"
"nucleus_medial_thalami","Nucleus medial thalami","medial nuclear complex of thalamus|mediodorsal nucleus|\bMNC\b|\bMD\b|reuniens nucleus","Thalamus"
"corpus_geniculatum_laterale","Corpus geniculatum laterale","lateral geniculate nucleus|lateral geniculate|\bLG\b","Thalamus"
"corpus_geniculatum_mediale","Corpus geniculatum mediale","medial geniculate nuclei|medial geniculate|\bMG\b","Thalamus"
"nucleus_subthalamicus","Nucleus subthalamicus","Subthalamic nucleus|Subthalamic|\bSTH\b","Thalamus"
"substantia_nigra","Substantia nigra","Substantia Nigra|Substantia nigra|\bSN\b","Midbrain"
"nucleus_ruber","Nucleus ruber","Red Nucleus|Red nucleus|\bRN\b","Midbrain"
"colliculus_inferior","Colliculus inferior","Inferior colliculus|\bIC\b","Midbrain"
"colliculus_superior","Colliculus superior","Superior colliculus|\bSC\b","Midbrain"
"vermis","Vermis","Vermis|Cerebellar Vermis|\bCBV\b","Cerebellum"
"nucleus_dentatus_cerebelli","Nucleus dentatus cerebelli","Dentate nucleus|Cerebellar deep nuclei|\bCbDN\b","Cerebellum"
"cerebellar_cortex","Cerebellar cortex","Cerebellar cortex|Lateral hemisphere of cerebellum|\bCBL\b","Cerebellum"
"centrum_semiovale","Centrum semiovale","Centrum semiovale",NA
"capsula_interna","Capsula interna","Internal capsule|Capsula interna",NA
