"anatomy_group","n_cells_Astrocyte","n_cells_Bergmann glia","n_cells_Choroid plexus","n_cells_Committed oligodendrocyte precursor","n_cells_Ependymal","n_cells_Fibroblast","n_cells_Microglia","n_cells_Oligodendrocyte","n_cells_Oligodendrocyte precursor","n_cells_Vascular","p_cells_Astrocyte","p_cells_Bergmann glia","p_cells_Choroid plexus","p_cells_Committed oligodendrocyte precursor","p_cells_Ependymal","p_cells_Fibroblast","p_cells_Microglia","p_cells_Oligodendrocyte","p_cells_Oligodendrocyte precursor","p_cells_Vascular","enrichment_global_Astrocyte","enrichment_global_Bergmann glia","enrichment_global_Choroid plexus","enrichment_global_Committed oligodendrocyte precursor","enrichment_global_Ependymal","enrichment_global_Fibroblast","enrichment_global_Microglia","enrichment_global_Oligodendrocyte","enrichment_global_Oligodendrocyte precursor","enrichment_global_Vascular","log2_enrichment_global_Astrocyte","log2_enrichment_global_Bergmann glia","log2_enrichment_global_Choroid plexus","log2_enrichment_global_Committed oligodendrocyte precursor","log2_enrichment_global_Ependymal","log2_enrichment_global_Fibroblast","log2_enrichment_global_Microglia","log2_enrichment_global_Oligodendrocyte","log2_enrichment_global_Oligodendrocyte precursor","log2_enrichment_global_Vascular","n_all_nonneurons"
"Basal forebrain",4276,1,6116,114,773,710,1678,8600,2593,270,0.170148422267319,3.97914925788866e-05,0.243364768612471,0.00453623015399308,0.0307588237634794,0.0282519597310095,0.0667701245473718,0.342206836178425,0.103179340257053,0.0107437029962994,0.834751998651677,0.00273640856846766,20.8968769357318,0.963124056292334,4.45029807681525,3.14088681995308,0.579534868407257,0.690448935787578,0.80537518522844,1.03217370746077,-0.260580452341517,-8.51350063203482,4.38521544073413,-0.0542064568698418,2.1539019696838,1.65117195724193,-0.787032629574702,-0.534393375277616,-0.312267073434825,0.0456857864620934,25131
"Caudatum",753,0,0,16,113,16,181,1281,406,21,0.270182992465016,0,0,0.00574094007893793,0.0405453893074991,0.00574094007893793,0.0649443846429853,0.459634015069968,0.14567635450305,0.00753498385360603,1.32552385709181,0,0,1.21890585531485,5.86625384138154,0.638243973152945,0.563688261224672,0.927374274870897,1.137089272901,0.72390424628384,0.406562636405328,0,0,0.285586700760823,2.55243949996955,-0.647820085354711,-0.827030571135913,-0.108776387617385,0.185345524692464,-0.46612921601457,2787
"Cerebellar cortex",108,1070,0,2,0,69,241,1103,564,61,0.033561218147918,0.332504661280298,0,0.000621504039776259,0,0.0214418893722809,0.0748912367930391,0.342759477936607,0.175264139216905,0.0189558732131759,0.164652093465461,22.8659078917191,0,0.131956596440432,0,2.38378322656213,0.650022496646954,0.691563965861405,1.36803926284137,1.82113689659322,-2.60250723972277,4.51512629742946,0,-2.92186462285881,0,1.25325304780382,-0.621438445608794,-0.532065395987286,0.452109636286444,0.864839375149918,3218
"Colliculus inferior",627,28,1,22,64,74,611,2007,803,53,0.146153846153846,0.00652680652680653,0.000233100233100233,0.00512820512820513,0.0149184149184149,0.0172494172494173,0.142424242424242,0.467832167832168,0.187179487179487,0.0123543123543124,0.717034066856499,0.448839893836015,0.0200154973645448,1.0888110957572,2.15845032732954,1.91768881898481,1.23617883223771,0.943915165500953,1.46104553278377,1.18690887027231,-0.47988643074766,-1.15572718346491,-5.64273872411437,0.122753674115022,1.10999589227126,0.93936863499114,0.305887466316512,-0.0832708918795136,0.547001139741503,0.24720917048677,4290
"Colliculus superior",657,0,1,24,36,41,274,1193,478,37,0.239693542502736,0,0.000364830353885443,0.00875592849325064,0.013133892739876,0.0149580445093032,0.0999635169646115,0.435242612185334,0.174388909157242,0.0134987230937614,1.17594192765248,0,0.0313266996329432,1.85904265893605,1.90025919231562,1.66294746625929,0.867638693836959,0.878161294931242,1.36120757958325,1.29685519661825,0.233816816333763,0,-4.99646340455323,0.894559875760014,0.926196213274706,0.733742593541407,-0.204833700980558,-0.18744214598577,0.44488708976607,0.375017401113653,2741
"Corpus amygdaloideum",8216,0,0,490,492,291,3872,15841,7028,337,0.224683457762463,0,0,0.0134000601635354,0.0134547542866519,0.00795799491344655,0.105887822353488,0.43320480214401,0.19219514863128,0.00921595974512539,1.10230211324863,0,0,2.84507616702493,1.9466826035462,0.884723097968424,0.919059019427503,0.874049735413372,1.50019570820374,0.885399693309818,0.140519684482004,0,0,1.5084672761938,0.961017679324008,-0.176702106016018,-0.121770584514115,-0.194212720204127,0.585150719946073,-0.175599221181063,36567
"Corpus geniculatum laterale",1219,0,1,78,0,452,436,5281,779,349,0.141826643397324,0,0.000116346713205352,0.00907504363001745,0,0.0525887143688191,0.0507271669575335,0.614426992437464,0.0906340895869692,0.0406050029086678,0.695804712499613,0,0.0099902831522859,1.92679659877453,0,5.84650415093165,0.440289159660768,1.23969020544761,0.707452155705431,3.90102150144425,-0.523245644908002,0,-6.64525871609288,0.946204282361457,0,2.54757423979886,-1.18347677070381,0.309979640850792,-0.499295511692657,1.96385195015471,8595
"Corpus geniculatum mediale",299,0,0,2,1,32,185,2949,204,19,0.0810078569493362,0,0,0.000541858574911948,0.000270929287455974,0.00866973719859117,0.0501219181793552,0.798970468707667,0.0552695746410187,0.00514765646166351,0.397426373949609,0,0,0.115046417595586,0.0391990310224353,0.96385042166202,0.435035870507977,1.61203182264098,0.431411402739269,0.494547890666721,-1.33124047921029,0,0,-3.11971203438098,-4.67303819758744,-0.0531188204965102,-1.20079373284461,0.688880223960905,-1.21286378566302,-1.01581786049154,3691
"Frontal lobe",6064,0,1,111,0,107,1516,8664,3162,221,0.305552756222916,0,5.03879875037791e-05,0.00559306661291948,0,0.00539151466290436,0.0763881890557291,0.436561523732742,0.15932681648695,0.0111357452383352,1.49904871612552,0,0.00432663930736155,1.1875096325539,0,0.599396909295219,0.663015373902327,0.880822378749659,1.24363912407613,1.06983816026467,0.584047268789887,0,-7.85253742994587,0.247939215996325,0,-0.738416450068168,-0.592885771162631,-0.183076971465309,0.314567908751054,0.0973925694834965,19846
"Hippocampus",27778,0,68,594,1929,685,11293,49888,16581,1164,0.252573195126387,0,0.000618294235315512,0.00540098199672668,0.0175395526459356,0.00622840516457538,0.102682305873795,0.453609747226769,0.15076377523186,0.0105837424986361,1.23912979402388,0,0.0530907518747501,1.14672657957408,2.53768603144978,0.69243747609021,0.891236567637435,0.915219493371828,1.17679957150917,1.01680591295107,0.309327312084827,0,-4.23539561662552,0.197521442516994,1.34351358655887,-0.530244286551417,-0.166119666892008,-0.127810314305842,0.23486862639801,0.024044325070358,109980
"Insular lobe",2763,0,0,54,0,81,1105,3336,1732,125,0.30045672031318,0,0,0.0058721183123097,0,0.00880817746846455,0.12016093953893,0.362766420182688,0.188342757720748,0.0135928664636799,1.47404744897201,0,0,1.24675737693816,0,0.979241397124822,1.04294330369236,0.731930698847908,1.47012554071273,1.30589977940271,0.559782964931521,0,0,0.318180739309921,0,-0.0302635460844569,0.0606607324453045,-0.450221038128739,0.555939358619642,0.385044182254386,9196
"Nucleus accumbens",707,0,0,24,94,10,166,1164,538,17,0.259926470588235,0,0,0.00882352941176471,0.0345588235294118,0.00367647058823529,0.0610294117647059,0.427941176470588,0.197794117647059,0.00625,1.27520512934947,0,0,1.87339556181754,5.00009581226397,0.408728389976392,0.529708044665065,0.863429653169594,1.54389894081734,0.600452718569364,0.350729337508906,0,0,0.905655552448087,2.3219557401981,-1.29078563950124,-0.916730675906086,-0.211849454084641,0.626578321030019,-0.735877446576884,2720
"Nucleus dentatus cerebelli",6267,19,2,45,17,182,3304,16946,1729,141,0.21872818651403,0.000663129973474801,6.98031551026106e-05,0.00157057098980874,0.00059332681837219,0.00635208711433757,0.115314812229513,0.59144213318442,0.0603448275862069,0.00492112243473405,1.0730854181368,0.0456025754205311,0.0059937514794009,0.333460748473735,0.0858446740040746,0.70618770827137,1.00088108242819,1.19331511900072,0.471026724669307,0.4727842150958,0.101764919913224,-4.45474088640427,-7.38232501843971,-1.58441114251794,-3.54212756080374,-0.501876384764455,0.00127057359188617,0.254975066158421,-1.08611917845887,-1.08074622600298,28652
"Nucleus medial thalami",1097,0,2,31,152,186,847,4628,714,178,0.140012763241863,0,0.000255264837268666,0.00395660497766433,0.0194001276324186,0.023739629865986,0.10810465858328,0.590682833439694,0.0911295469049138,0.0227185705169113,0.686905775530885,0,0.0219186939869553,0.840059103235775,2.80688076229469,2.6392325087027,0.938300168091252,1.19178312827095,0.711319490272781,2.18262838862227,-0.541815880119541,0,-5.5116943510874,-0.251437261108435,1.48896777874181,1.40011845349719,-0.0918785711430535,0.253121728892324,-0.491430400719746,1.12606651991693,7835
"Nucleus ruber",344,1,0,6,0,26,157,2133,281,25,0.115708039017827,0.000336360578540195,0,0.00201816347124117,0,0.00874537504204507,0.0528086108308106,0.717457114026236,0.0945173225697948,0.00840901446350488,0.567666250107505,0.02313107424627,0,0.428492762205156,0,0.972259392503546,0.458355163122255,1.44756751906136,0.737763063635613,0.807874495216097,-0.816885124368338,-5.43402392104325,0,-1.22265725932186,0,-0.040586828017454,-1.12546217013133,0.533630641577704,-0.438770533075621,-0.307796909822441,2973
"Nucleus subthalamicus",1312,0,0,20,0,154,836,16182,985,70,0.0670790940232118,0,0,0.00102254716498799,0,0.00787361317040748,0.0427424714964978,0.827342911191779,0.0503604478756583,0.00357891507745795,0.32909154876351,0,0,0.217105336338928,0,0.875342031767018,0.370985568201981,1.66927709259998,0.393092792946725,0.343835086046162,-1.60343911708365,0,0,-2.20353290778694,0,-0.192081248094939,-1.43056502957337,0.739223455562598,-1.3470581815841,-1.54021132528349,19559
"Occipital lobe",3297,0,0,56,0,63,1042,5391,1528,123,0.286695652173913,0,0,0.0048695652173913,0,0.00547826086956522,0.0906086956521739,0.468782608695652,0.132869565217391,0.010695652173913,1.40653533819388,0,0,1.03389714484075,0,0.609040842663952,0.786443021745162,0.945832809490916,1.03712478129423,1.02755734795175,0.492145799788496,0,0,0.0480926692031366,0,-0.715389115470085,-0.346585849555901,-0.0803429073432247,0.0525894819277457,0.0392189129306184,11500
"Pallidum",11894,1,0,251,0,369,16783,35084,3009,419,0.175401858133019,1.47470874502286e-05,0,0.00370151895000737,0,0.00544167526913435,0.247500368677186,0.51738681610382,0.0443739861377378,0.00617902964164577,0.860525473540508,0.00101413779286478,0,0.785899706265099,0,0.604973470655515,2.14819269193241,1.04389842283322,0.346364952673381,0.593634423431502,-0.216710194886138,-9.94553059723516,0,-0.347582882284146,0,-0.725056216290057,1.10312340823342,0.061981336424691,-1.52963513815512,-0.752353342089721,67810
"Parietal lobe",3506,0,1,50,1,73,1301,5840,1456,102,0.284347120843471,0,8.110300081103e-05,0.0040551500405515,8.110300081103e-05,0.00592051905920519,0.10551500405515,0.473641524736415,0.11808596918086,0.00827250608272506,1.39501339049752,0,0.00696402949666645,0.860982010026986,0.0117342760343721,0.658208508627027,0.915823123060201,0.955636334887694,0.921730155135526,0.794759802680618,0.480278970306545,0,-7.16586197101766,-0.215945001650844,-6.41312735463203,-0.603383418661086,-0.126859103687715,-0.0654663863780447,-0.117583644480408,-0.331409189008227,12330
"Putamen",865,0,0,17,0,58,291,2000,398,46,0.235374149659864,0,0,0.00462585034013605,0,0.0157823129251701,0.0791836734693878,0.54421768707483,0.108299319727891,0.0125170068027211,1.15475088890817,0,0,0.982152049642212,0,1.75458478374627,0.687278930437328,1.09803336214381,0.845339623888535,1.20253932208722,0.207581656750207,0,0,-0.0259817054961171,0,0.811129662265581,-0.541032362818115,0.134921889195775,-0.242397019456343,0.266084069756402,3675
"Substantia nigra",5312,0,0,62,3,191,6555,34626,3871,217,0.104490823612723,0,0,0.00121958416114247,5.90121368294746e-05,0.00375710604480988,0.128941518972402,0.681118083285796,0.0761453272222987,0.00426854456399866,0.512634338239372,0,0,0.258939869538025,0.00853808978719093,0.417692966069074,1.11915481267204,1.37424857142583,0.594358879046496,0.410089470045996,-0.963997975702976,0,0,-1.9493109776356,-6.87187095050779,-1.25948524610226,0.162409618106697,0.458642979650044,-0.750593788983702,-1.28598939513215,50837
"Temporal lobe",20845,0,1,406,0,741,7172,35110,15437,1079,0.258011412162246,0,1.23776163186494e-05,0.00502531222537164,0,0.00917181369211917,0.0887722642373532,0.434578108947779,0.19107326311099,0.0133554480078227,1.26580980950268,0,0.00106282238979462,1.06696506357265,0,1.01966833504378,0.770503617025735,0.87682056907573,1.49143873460363,1.28309041024143,0.340060653186574,0,-9.87788375907385,0.0935129377034221,0,0.0280999667085456,-0.376126365593321,-0.189646452433492,0.57670471578986,0.359622830452109,80791
"Vermis",203,6614,0,30,1,173,1431,4357,3862,462,0.0118484795424035,0.386038638884025,0,0.00175100682892663,5.83668942975544e-05,0.0100974727134769,0.0835230257398004,0.254304558454445,0.225412945777155,0.0269655051654701,0.0581289079687491,26.5473690665814,0,0.371770554495981,0.00844473375963395,1.12257766408271,0.724942570636503,0.513094109140626,1.75948007135813,2.59064174147244,-4.10460038395512,4.73049698707801,0,-1.42751558650435,-6.88773234531933,0.166815259408319,-0.464061384366145,-0.962704632917558,0.815149173584244,1.37330951974903,17133
