"anatomy_group","p_cells_Excitatory_projection","p_cells_Inhibitory_interneuron","p_cells_Inhibitory_projection_MSN","p_cells_Miscellaneous","p_cells_Splatter","rcmr_value","is_telencephalon","division"
"Basal forebrain",0.0885711962068798,0.0922990383328704,0.568223605663041,0.00362305226194972,0.247283107535259,21.4,TRUE,"Telencephalon"
"Caudatum",0.000216789271745968,0.0071659409666043,0.907853824971811,0,0.0847634447898383,32.6,TRUE,"Telencephalon"
"Corpus amygdaloideum",0.483755760921208,0.197469055349243,0.217897522734289,0.00397789824097873,0.0968997627542808,22.2,TRUE,"Telencephalon"
"Frontal lobe",0.657410502762847,0.332857537955045,0.000365148940606992,0.00711073727494804,0.00225607306655345,35.3,TRUE,"Telencephalon"
"Hippocampus",0.740432632218038,0.222930592929213,0.00269301037266659,0.0306176162118973,0.00332614826818475,25.7,TRUE,"Telencephalon"
"Insular lobe",0.668202312764077,0.317477972142505,0.00148517587078304,0.00987997509662402,0.00295456412601074,30.3,TRUE,"Telencephalon"
"Nucleus accumbens",0.00155824095893654,0.00482184751208021,0.897762785003836,3.48347093043508e-05,0.0958222918158432,32.3,TRUE,"Telencephalon"
"Occipital lobe",0.728480413964461,0.269004439594908,0,0.00201902509216874,0.00049612134846229,35.8,TRUE,"Telencephalon"
"Pallidum",0.105702836485519,0.0327198855369426,0.612359892793023,0,0.249217385184516,21.9,TRUE,"Telencephalon"
"Parietal lobe",0.646164637947613,0.349634577508618,5.45218403219431e-05,0.00304647867802414,0.0010997840254228,35.8,TRUE,"Telencephalon"
"Putamen",0.0286558849081369,0.0245411601672154,0.89733765380793,0,0.0494653011167181,40.2,TRUE,"Telencephalon"
"Temporal lobe",0.635835073926876,0.343486660274537,0.00351075503728238,0.0142746945531325,0.00289281620817144,30.5,TRUE,"Telencephalon"
