"anatomy_group","astro_type","comp_mean","comp_sd","n_donors","mean_assigned_astro_n","astro_type_label"
"Basal forebrain","Astrocyte_Type1",0.8145761045488,0.0710670455823684,3,1425.33333333333,"Type 1 astrocytes"
"Basal forebrain","Astrocyte_Type2",0.1854238954512,0.0710670455823684,3,1425.33333333333,"Type 2 astrocytes"
"Caudatum","Astrocyte_Type1",0.990338164251208,0.0167347904112935,3,251,"Type 1 astrocytes"
"Caudatum","Astrocyte_Type2",0.00966183574879227,0.0167347904112935,3,251,"Type 2 astrocytes"
"Cerebellar cortex","Astrocyte_Type1",0,0,3,36,"Type 1 astrocytes"
"Cerebellar cortex","Astrocyte_Type2",1,0,3,36,"Type 2 astrocytes"
"Colliculus inferior","Astrocyte_Type1",0.0242933416877841,0.0301651793136574,3,209,"Type 1 astrocytes"
"Colliculus inferior","Astrocyte_Type2",0.975706658312216,0.0301651793136574,3,209,"Type 2 astrocytes"
"Colliculus superior","Astrocyte_Type1",0.0275848450182492,0.0398523912675198,3,219,"Type 1 astrocytes"
"Colliculus superior","Astrocyte_Type2",0.972415154981751,0.0398523912675198,3,219,"Type 2 astrocytes"
"Corpus amygdaloideum","Astrocyte_Type1",0.92982579138759,0.0124845163182546,3,2738.66666666667,"Type 1 astrocytes"
"Corpus amygdaloideum","Astrocyte_Type2",0.0701742086124102,0.0124845163182546,3,2738.66666666667,"Type 2 astrocytes"
"Corpus geniculatum laterale","Astrocyte_Type1",0.0428146311682897,0.0338690989052463,3,406.333333333333,"Type 1 astrocytes"
"Corpus geniculatum laterale","Astrocyte_Type2",0.95718536883171,0.0338690989052463,3,406.333333333333,"Type 2 astrocytes"
"Corpus geniculatum mediale","Astrocyte_Type1",0.046218487394958,0.0653628117063195,2,149.5,"Type 1 astrocytes"
"Corpus geniculatum mediale","Astrocyte_Type2",0.953781512605042,0.0653628117063195,2,149.5,"Type 2 astrocytes"
"Frontal lobe","Astrocyte_Type1",0.987431172308632,0.0244762024901781,4,1516,"Type 1 astrocytes"
"Frontal lobe","Astrocyte_Type2",0.012568827691368,0.0244762024901781,4,1516,"Type 2 astrocytes"
"Hippocampus","Astrocyte_Type1",0.987728114012378,0.00850888406864578,3,9259.33333333333,"Type 1 astrocytes"
"Hippocampus","Astrocyte_Type2",0.0122718859876225,0.0085088840686458,3,9259.33333333333,"Type 2 astrocytes"
"Insular lobe","Astrocyte_Type1",1,0,3,921,"Type 1 astrocytes"
"Insular lobe","Astrocyte_Type2",0,0,3,921,"Type 2 astrocytes"
"Nucleus accumbens","Astrocyte_Type1",0.995584988962472,0.00764702343297515,3,235.666666666667,"Type 1 astrocytes"
"Nucleus accumbens","Astrocyte_Type2",0.00441501103752759,0.00764702343297518,3,235.666666666667,"Type 2 astrocytes"
"Nucleus dentatus cerebelli","Astrocyte_Type1",0.000287383092135497,0.000331595446037396,3,2089,"Type 1 astrocytes"
"Nucleus dentatus cerebelli","Astrocyte_Type2",0.999712616907865,0.000331595446037426,3,2089,"Type 2 astrocytes"
"Nucleus medial thalami","Astrocyte_Type1",0.0135105997951656,0.0119720716545803,3,365.666666666667,"Type 1 astrocytes"
"Nucleus medial thalami","Astrocyte_Type2",0.986489400204834,0.0119720716545803,3,365.666666666667,"Type 2 astrocytes"
"Nucleus ruber","Astrocyte_Type1",0.00290697674418605,NA,1,344,"Type 1 astrocytes"
"Nucleus ruber","Astrocyte_Type2",0.997093023255814,NA,1,344,"Type 2 astrocytes"
"Nucleus subthalamicus","Astrocyte_Type1",0.00820320030846347,0.00434869988815324,2,656,"Type 1 astrocytes"
"Nucleus subthalamicus","Astrocyte_Type2",0.991796799691537,0.00434869988815324,2,656,"Type 2 astrocytes"
"Occipital lobe","Astrocyte_Type1",0.999671268902038,0.000569378963697859,3,1099,"Type 1 astrocytes"
"Occipital lobe","Astrocyte_Type2",0.000328731097961867,0.000569378963697856,3,1099,"Type 2 astrocytes"
"Pallidum","Astrocyte_Type1",0.158534360748277,0.188753877611492,3,3964.66666666667,"Type 1 astrocytes"
"Pallidum","Astrocyte_Type2",0.841465639251723,0.188753877611492,3,3964.66666666667,"Type 2 astrocytes"
"Parietal lobe","Astrocyte_Type1",1,0,3,1168.66666666667,"Type 1 astrocytes"
"Parietal lobe","Astrocyte_Type2",0,0,3,1168.66666666667,"Type 2 astrocytes"
"Putamen","Astrocyte_Type1",0.963850669233958,0.0389035593734876,3,288.333333333333,"Type 1 astrocytes"
"Putamen","Astrocyte_Type2",0.0361493307660422,0.0389035593734876,3,288.333333333333,"Type 2 astrocytes"
"Substantia nigra","Astrocyte_Type1",0.023318167291834,0.0169169777644508,3,1770.66666666667,"Type 1 astrocytes"
"Substantia nigra","Astrocyte_Type2",0.976681832708166,0.0169169777644508,3,1770.66666666667,"Type 2 astrocytes"
"Temporal lobe","Astrocyte_Type1",0.998820527491595,0.00149719571272041,3,6948.33333333333,"Type 1 astrocytes"
"Temporal lobe","Astrocyte_Type2",0.00117947250840503,0.00149719571272037,3,6948.33333333333,"Type 2 astrocytes"
"Vermis","Astrocyte_Type1",0,0,3,67.6666666666667,"Type 1 astrocytes"
"Vermis","Astrocyte_Type2",1,0,3,67.6666666666667,"Type 2 astrocytes"
